ride_id,Name,Capacity,Avg_Day
17,Mount Vernon Ave & E Nelson Ave,11.0,2.4285714285714284
12,Mount Vernon Ave & Four Mile Run Park,15.0,1.7142857142857142
26,Mount Vernon Ave & Kennedy St,15.0,3.7142857142857144
60,Mt Vernon Trail & S. Washington St.,15.0,8.571428571428571
2,N Hampton Dr & Ford Ave,11.0,0.2857142857142857
2,N Howard St & Taney Ave,15.0,0.2857142857142857
93,N Lynn St & Fairfax Dr,15.0,13.285714285714286
13,N Oak St & W Broad St,12.0,1.8571428571428572
52,N Pitt St & Montgomery St,15.0,7.428571428571429
27,N Quincy St & Glebe Rd,11.0,3.857142857142857
14,N Roosevelt St & Roosevelt Blvd,12.0,2.0
51,N Veitch St & 20th St N,15.0,7.285714285714286
20,N Veitch St & Key Blvd,11.0,2.857142857142857
4,N. Beauregard St. & Berkley St.,19.0,0.5714285714285714
6,Nannie Helen Burroughs & Minnesota Ave NE,11.0,0.8571428571428571
10,Nannie Helen Burroughs Ave & 49th St NE,11.0,1.4285714285714286
29,National Airport,19.0,4.142857142857143
54,National Harbor Carousel,15.0,7.714285714285714
52,Neal St & Trinidad Ave NE,15.0,7.428571428571429
3,Needwood Rd & Eagles Head Ct,15.0,0.42857142857142855
2,New Dominion Pkwy & Fountain Dr,15.0,0.2857142857142857
23,New Hampshire & Gallatin St NW,19.0,3.2857142857142856
9,New Hampshire & Kirklynn Ave,15.0,1.2857142857142858
4,New Hampshire & Lockwood,19.0,0.5714285714285714
226,New Hampshire Ave & 24th St NW,19.0,32.285714285714285
12,New Hampshire Ave & East-West Hwy,15.0,1.7142857142857142
549,New Hampshire Ave & T St NW,23.0,78.42857142857143
288,New Hampshire Ave & Ward Pl NW,19.0,41.142857142857146
117,New Jersey Ave & F St NW,33.0,16.714285714285715
171,New Jersey Ave & N St NW/Dunbar HS,19.0,24.428571428571427
195,New Jersey Ave & R St NW,15.0,27.857142857142858
178,New York Ave & 15th St NW,19.0,25.428571428571427
134,New York Ave & Hecht Ave NE,23.0,19.142857142857142
16,Norfolk & Rugby Ave,11.0,2.2857142857142856
17,Norfolk Ave & Fairmont St,11.0,2.4285714285714284
95,North Capitol & R St NE,15.0,13.571428571428571
105,North Capitol St & F St NW,23.0,15.0
59,North Capitol St & G Pl NE,19.0,8.428571428571429
2,North Shore Dr & Village Rd,11.0,0.2857142857142857
4,Northwestern High School,15.0,0.5714285714285714
4,Oak Leaf & Lockwood,19.0,0.5714285714285714
28,Offutt Ln & Chevy Chase Dr,11.0,4.0
7,Oglethorpe St & 42nd Ave,15.0,1.0
267,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31.0,38.142857142857146
21,Oklahoma Ave & Benning Rd NE,19.0,3.0
47,Oklahoma Ave & D St NE,19.0,6.714285714285714
21,Old Georgetown Rd & Southwick St,19.0,3.0
2,Oxon Hill Park & Ride,15.0,0.2857142857142857
152,Park Rd & Holmead Pl NW,19.0,21.714285714285715
11,Park Run & Onyx Dr,11.0,1.5714285714285714
20,Pennsylvania & Minnesota Ave SE,11.0,2.857142857142857
7,Pennsylvania Ave & Park Ave,12.0,1.0
84,Pentagon City Metro / 12th St & S Hayes St,18.0,12.0
8,Perry & 35th St,15.0,1.1428571428571428
25,Pershing Dr & N George Mason Dr,11.0,3.5714285714285716
34,Pershing Dr & Wayne St,11.0,4.857142857142857
5,Philadelphia & Maple Ave,15.0,0.7142857142857143
11,Pleasant St & MLK Ave SE,11.0,1.5714285714285714
13,Pooks Hill Rd & Linden Ave,15.0,1.8571428571428572
214,Potomac & M St NW,19.0,30.571428571428573
144,Potomac & Pennsylvania Ave SE,15.0,20.571428571428573
33,Potomac Ave & 35th St S,15.0,4.714285714285714
62,Potomac Ave & 8th St SE,15.0,8.857142857142858
43,Potomac Ave & Half St SW,23.0,6.142857142857143
20,Potomac Ave & Main Line Blvd,19.0,2.857142857142857
42,Potomac Ave & Swann Ave,19.0,6.0
28,Potomac Greens Dr & Slaters Ln,11.0,4.0
19,Powhatan St & Bashford Ln,15.0,2.7142857142857144
10,Prince George's Plaza Metro,17.0,1.4285714285714286
53,Prince St & Union St,19.0,7.571428571428571
5,Queens Chapel & Hamilton St,15.0,0.7142857142857143
4,Radford St & Osage St,23.0,0.5714285714285714
8,Randle Circle & Minnesota Ave SE,11.0,1.1428571428571428
133,Reservoir Rd & 38th St NW,19.0,19.0
3,Reston Pkwy & Spectrum Dr,15.0,0.42857142857142855
9,Reston Town Center Transit Station,17.0,1.2857142857142858
5,Reston YMCA,15.0,0.7142857142857143
168,Rhode Island & Connecticut Ave NW,23.0,24.0
11,Rhode Island & Montana Ave NE,19.0,1.5714285714285714
11,Rhode Island Ave & 39th St / Brentwood Arts Exchange,15.0,1.5714285714285714
66,Rhode Island Ave & V St NE,19.0,9.428571428571429
79,Rhode Island Ave Metro,19.0,11.285714285714286
20,Rhodes St & 16th St N,12.0,2.857142857142857
4,Riggs Rd & East West Hwy,17.0,0.5714285714285714
39,River Rd & Landy Ln,19.0,5.571428571428571
22,Riverdale Park Town Center,17.0,3.142857142857143
